timestamp,driver_id,ride_rating,route_efficiency,carpool_interest,traffic_avoidance,recommendation
2025-04-08T14:00:10.483479,None,4,yes,definitely,somewhat,definitely
2025-04-08T14:30:20.876736,None,4,yes,definitely,somewhat,definitely
2025-04-08T16:22:00.901046,None,4,somewhat,definitely,somewhat,definitely
2025-04-08T16:23:10.096987,None,4,yes,definitely,somewhat,definitely
2025-04-08T16:29:43.988090,None,4,yes,definitely,somewhat,definitely
2025-04-08T16:32:16.880734,None,5,yes,definitely,yes,definitely
2025-04-08T20:51:34.770327,None,4,yes,definitely,somewhat,definitely
2025-04-09T10:54:33.888669,None,4,yes,definitely,somewhat,definitely
2025-04-09T11:34:44.331877,None,4,yes,definitely,yes,definitely
2025-04-10T00:15:44.988755,None,4,yes,definitely,somewhat,probably
2025-04-10T13:55:15.039304,None,4,yes,definitely,somewhat,probably
2025-04-10T13:55:52.517641,None,4,somewhat,definitely,somewhat,definitely
2025-04-10T13:56:58.770871,None,3,somewhat,maybe,yes,definitely
2025-04-10T13:57:44.503880,None,5,yes,maybe,yes,probably
2025-04-10T13:58:39.065824,None,3,yes,definitely,somewhat,definitely
2025-04-10T13:59:31.410816,None,4,somewhat,definitely,no,probably
2025-04-10T14:00:24.249863,None,3,yes,definitely,yes,definitely
2025-04-10T14:03:45.808195,None,4,somewhat,definitely,yes,probably
2025-04-10T14:07:22.712265,None,4,somewhat,definitely,somewhat,probably
2025-05-28T11:53:01.698172,None,4,yes,definitely,somewhat,definitely
2025-06-11T09:13:34.702313,None,3,somewhat,maybe,somewhat,probably
2025-06-11T10:13:46.095837,None,4,yes,definitely,somewhat,definitely
2025-06-11T10:22:16.340120,None,5,yes,definitely,somewhat,probably
2025-06-11T10:29:35.377835,None,4,yes,definitely,yes,definitely
2025-06-11T10:36:08.462605,None,5,yes,definitely,yes,probably
2025-06-11T10:38:05.813423,None,4,yes,definitely,yes,probably
2025-06-11T10:42:26.797878,None,4,yes,definitely,yes,probably
2025-06-11T10:45:18.560873,None,4,yes,definitely,somewhat,probably
2025-06-11T10:51:20.966983,None,4,somewhat,maybe,somewhat,probably
